,Date,Map Name,Map Number,Map Type,Match Id,Team A,Team B,Winner
0,2018-01-27,Numbani,1,Hybrid,2428,GLA,HOU,Team B
1,2018-01-27,Temple of Anubis,2,Assault,2428,GLA,HOU,Team B
2,2018-01-27,Ilios,3,KOTH,2428,GLA,HOU,Team B
3,2018-01-27,Dorado,4,Escort,2428,GLA,HOU,Team B
0,2018-01-27,Eichenwalde,1,Hybrid,2427,VAL,FLA,Team A
1,2018-01-27,Temple of Anubis,2,Assault,2427,VAL,FLA,Team A
2,2018-01-27,Ilios,3,KOTH,2427,VAL,FLA,Team A
3,2018-01-27,Dorado,4,Escort,2427,VAL,FLA,Team A
0,2018-01-27,Numbani,1,Hybrid,2426,DAL,BOS,Team A
1,2018-01-27,Temple of Anubis,2,Assault,2426,DAL,BOS,Team B
2,2018-01-27,Ilios,3,KOTH,2426,DAL,BOS,Team B
3,2018-01-27,Dorado,4,Escort,2426,DAL,BOS,Team A
4,2018-01-27,Lijiang Tower,5,KOTH,2426,DAL,BOS,Team B
0,2018-01-27,Eichenwalde,1,Hybrid,2425,DAL,SFS,Tie
1,2018-01-27,Horizon Lunar Colony,2,Assault,2425,DAL,SFS,Team A
2,2018-01-27,Ilios,3,KOTH,2425,DAL,SFS,Team A
3,2018-01-27,Junkertown,4,Escort,2425,DAL,SFS,Team A
0,2018-01-27,Eichenwalde,1,Hybrid,2424,SHD,PHI,Team B
1,2018-01-27,Horizon Lunar Colony,2,Assault,2424,SHD,PHI,Team B
2,2018-01-27,Oasis,3,KOTH,2424,SHD,PHI,Team A
3,2018-01-27,Junkertown,4,Escort,2424,SHD,PHI,Team A
4,2018-01-27,Lijiang Tower,5,KOTH,2424,SHD,PHI,Team B
0,2018-01-27,Eichenwalde,1,Hybrid,2423,SEO,NYE,Team B
1,2018-01-27,Horizon Lunar Colony,2,Assault,2423,SEO,NYE,Team A
2,2018-01-27,Oasis,3,KOTH,2423,SEO,NYE,Team B
3,2018-01-27,Junkertown,4,Escort,2423,SEO,NYE,Team A
